cycle,t_feed,t_rinse,t_blow,t_purge,purity_H2,H2_CO_ratio,purity_CO2,recovery_CO2,productivity
0,680,265,130,80,67.02802359504135,2.1211421289256203,86.95466024793392,90.4565033057851,3.9709649413223147
1,680,265,130,80,66.61255270833333,2.1565301583333327,89.50113666666668,93.26343937500002,4.085543822916668
2,680,265,130,80,66.48674512396695,2.1750323743801654,90.32933744628096,94.54778760330576,4.137525648760332
3,680,265,130,80,66.41504779166664,2.184220829166667,90.5913331666667,94.84433375000002,4.149884947916667
4,680,265,130,80,66.38666801322316,2.187347159669421,90.68096185123963,94.91814821487607,4.152916291239668
5,680,187,130,90,67.94271460526316,2.3201644328947375,85.56970394736844,105.07911289473687,4.86101497105263
6,680,187,130,90,68.4809128761062,2.3007128402654877,83.36907650442477,101.54477451327432,4.726807984513274
7,680,187,130,90,68.61386157894735,2.291579684210526,82.6473667105263,100.26095994736838,4.671383735526316
8,680,187,130,90,68.69583728947367,2.2864830355263157,82.4137997368421,99.85127194736843,4.653558534210527
9,680,187,130,90,68.71999605663719,2.28469658460177,82.33037746902656,99.73083190265486,4.64832772
10,715,187,130,90,68.4494748931624,2.2665353038461533,82.71246679487179,98.06022784188033,4.6727333547008545
11,715,187,130,90,68.35689819230768,2.2669421153846145,82.9343953076923,98.36563230769234,4.700929615384616
12,715,187,130,90,68.32237692307693,2.267769842307692,83.01588153846156,98.54796307692312,4.708910380769232
13,715,187,130,90,68.30870694871794,2.268312053418804,83.04459401709404,98.59467542735047,4.710956400427348
14,715,187,130,90,68.30316723076925,2.2685212584615386,83.05525426153844,98.60934846153843,4.711591463076922
15,715,200,130,110,68.04780037190083,2.2457829752066103,82.22885250000002,102.99531227272729,4.799993484710744
16,715,200,130,110,68.47240187499999,2.25395415,81.65468166666666,101.05154437500002,4.697433454166668
17,715,200,130,110,68.57879219008267,2.25439083016529,81.39287995867767,100.27574136363636,4.662754694214875
18,715,200,130,110,68.64852125000002,2.2545598166666667,81.29880437500002,100.05510408333332,4.653327264583334
19,715,200,130,110,68.66758839669421,2.2544769033057848,81.2618490247934,99.99879010247933,4.650929292396693
20,715,200,135,115,68.67886842975204,2.2544597876033063,80.8703188429752,101.20063479338845,4.672650495867767
21,715,200,135,115,68.76286675409837,2.255949948770493,80.62869090163935,100.61817132786885,4.641017852459016
22,715,200,135,115,68.78724582644628,2.255749667355371,80.53396561983472,100.33728112396696,4.628516226446281
23,715,200,135,115,68.80068949999998,2.255574895081968,80.5014436147541,100.26587590163935,4.625419781967214
24,715,200,135,115,68.80483200000002,2.2554754328925615,80.48991535867768,100.24713041322312,4.624608720330578
25,650,240,130,85,68.51508771551725,2.21662167887931,84.40480385775864,91.4934695258621,4.02045397887931
26,650,240,130,85,68.0354985869565,2.2115663673913053,86.3432631521739,96.0791952173913,4.183843423913044
27,650,240,130,85,67.88324105603448,2.2166838732758625,87.03266327586208,97.90413920258621,4.2597088913793115
28,650,240,130,85,67.79963217391304,2.2197426108695653,87.26379478260871,98.3731472826087,4.278855869565219
29,650,240,130,85,67.7710238803419,2.2211583729914537,87.34502965811963,98.49719059829063,4.283908407008547
30,650,190,140,85,68.80670040540541,2.322679972972973,84.39777918918915,103.289145,4.649990601351353
31,650,190,140,85,68.85804361607141,2.3046801517857145,83.20616714285711,101.14173644642857,4.565561316964287
32,650,190,140,85,68.89241513513512,2.299499581081082,82.82579345945949,100.35610918918917,4.533007747297297
33,650,190,140,85,68.90387517857141,2.2957315508928566,82.7010682142857,100.12231455357144,4.522886506696429
34,650,190,140,85,68.90940681818186,2.294470974727274,82.65764278181817,100.0473687781818,4.519681586909089
35,700,190,140,100,68.51368436440677,2.266906062711863,82.00207156779656,101.71180148728813,4.697089964406777
36,700,190,140,100,68.70677042372881,2.271456509322034,81.64999864406776,100.49129646186441,4.659783345338984
37,700,190,140,100,68.74627163559322,2.2720401644067802,81.51101415254239,100.07639118644067,4.641045325
38,700,190,140,100,68.78119707627118,2.2724513550847467,81.46550038135591,99.95350775423724,4.635795813559324
39,700,190,140,100,68.78960625423727,2.2725319520338987,81.44871581694916,99.92547769491522,4.6346029122033885
40,700,210,135,105,68.4259829166667,2.2375872166666673,82.17234995833333,99.88869862499999,4.564142589583332
41,700,210,135,105,68.50702104166666,2.2433571645833337,82.47877958333335,99.86042558333335,4.552477739583333
42,700,210,135,105,68.53300750000001,2.2455096958333343,82.54622133333332,99.8757775,4.552974904166667
43,700,210,135,105,68.54931125,2.2465698375,82.5606575625,99.86759562499998,4.552774045833333
44,700,210,135,105,68.55399084999999,2.2468939875,82.56303029499999,99.86543052500004,4.552729564999998
45,690,230,135,110,68.27755081967213,2.218814253688525,83.108895204918,100.21724494672132,4.456937780737706
46,690,230,135,110,68.37093619834711,2.224960828099174,83.32290395454544,100.06727823140494,4.431601522727273
47,690,230,135,110,68.39948565573772,2.2267806741803287,83.36264407786886,100.01973588114755,4.4293902581967215
48,690,230,135,110,68.41597338842975,2.2277107942148766,83.36915818181818,100.0031620247934,4.428837293388431
49,690,230,135,110,68.42095407868852,2.2279870714754093,83.36928842622952,99.99904262295082,4.428708350819673
50,680,240,130,100,68.32048594999999,2.216333677499999,84.54882968750002,96.8210985,4.2747263625
51,680,240,130,100,68.11729924999997,2.21424659375,85.20785398750004,98.37187437499998,4.33762775375
52,680,240,130,100,68.06544174999999,2.2159750887499996,85.4489362,98.99752168750001,4.364174223750001
53,680,240,130,100,68.033562375,2.216894908749999,85.52942699999998,99.15192068749997,4.3705637475
54,680,240,130,100,68.0242226,2.217335299333333,85.5579053,99.19053952,4.372165305666668
55,675,250,130,95,67.87866350000003,2.2030611362499997,86.40669675,97.10378529999998,4.249356941250001
56,675,250,130,95,67.733406875,2.2039246937499994,86.85882374999998,98.05022675000001,4.283493544999999
57,675,250,130,95,67.69967287500002,2.2056904937499993,87.019232125,98.39335556250002,4.2978358725
58,675,250,130,95,67.67685525,2.2065417212499994,87.07248199999998,98.48459106249999,4.3015664524999995
59,675,250,130,95,67.67055833333332,2.2069070626666663,87.09160483333335,98.50711168666663,4.302490269333333
60,670,255,135,90,67.61526812500001,2.20061593875,87.70339675000001,97.01024192500002,4.206301198749999
61,670,255,135,90,67.4820195,2.2004591537500007,88.022295625,97.6764965,4.227940424999999
62,670,255,135,90,67.4538555,2.2015165949999997,88.13552375000003,97.89090400000002,4.23676255875
63,670,255,135,90,67.43286500000004,2.2019521787499996,88.17317675000001,97.954542425,4.239297274999999
64,670,255,135,90,67.42753281666667,2.2021623196666664,88.18692113333333,97.96882760333337,4.239868129
65,660,260,135,85,67.40890376890754,2.197352153781513,88.74586403361347,96.2230633403361,4.133882291596639
66,660,260,135,85,67.2390343739496,2.196268520168067,89.05224768907563,97.08201535714292,4.1637098130252115
67,660,260,135,85,67.20728619747901,2.197427563445377,89.16725584033618,97.31386540756304,4.173269865966386
68,660,260,135,85,67.18108340336137,2.197847076050421,89.20629432773113,97.38373300840337,4.175990638235293
69,660,260,135,85,67.17501164705884,2.1980777988235305,89.22091898823533,97.3974263529412,4.176525247058825
70,650,265,140,85,67.14773390756298,2.193112185714285,89.37587952100839,97.70238825630258,4.1263201273109225
71,650,265,140,85,67.17767235294117,2.1951433054621856,89.42393352941178,97.63223069327735,4.113842520168067
72,650,265,140,85,67.18653122689074,2.195452694957984,89.43239533613446,97.60899963025203,4.112815657563024
73,650,265,140,85,67.19051323949579,2.1956477878151257,89.43369490756311,97.60787073109246,4.112815617647059
74,650,265,140,85,67.19192170588236,2.195693764705882,89.43370216470588,97.6072559294117,4.112803717647058
75,640,250,140,90,67.5872471923077,2.227290911538461,88.17892499999999,101.2232653846154,4.26475448076923
76,640,250,140,90,67.78763584615386,2.221522884615385,87.54751076923078,99.87566892307693,4.210729903846155
77,640,250,140,90,67.83856,2.218267473076923,87.32069653846153,99.40006392307686,4.191836076923079
78,640,250,140,90,67.8706556923077,2.2165222923076917,87.24224230769228,99.2500788461539,4.185898669230768
79,640,250,140,90,67.8797906017094,2.2158303772649566,87.21298545299148,99.20837779487178,4.184245091623931
80,630,240,135,95,68.17024600000002,2.2400569999999997,86.1354565,102.06652739999996,4.304486
81,630,240,135,95,68.30427500000002,2.2363134399999995,85.61287649999997,100.82769560000001,4.255355099999999
82,630,240,135,95,68.34087099999998,2.2341912599999993,85.42282000000003,100.36134700000001,4.23691277
83,630,240,135,95,68.3628455,2.23284214,85.35598300000002,100.21209650000002,4.230969970000001
84,630,240,135,95,68.3693258189655,2.232291019655173,85.33076996206896,100.16635281896556,4.22914960051724
85,620,230,135,100,68.66243022123895,2.2582344331858417,84.21594596902658,103.21294331858404,4.33908773539823
86,620,230,135,100,68.76063416666666,2.2550967083333338,83.67383791666668,101.70926916666663,4.277304225
87,620,230,135,100,68.79103491150443,2.2532943469026545,83.47184876106198,101.12273336283188,4.2540866318584065
88,620,230,135,100,68.8067325,2.25187315,83.39857916666669,100.93447333333333,4.246568283333332
89,620,230,135,100,68.81167309734512,2.251270630442478,83.37066136283185,100.87197879646014,4.244073477876105
90,610,220,130,105,69.10806223214288,2.2792605977678577,82.18350535714285,103.51134894642857,4.354596988839285
91,610,220,130,105,69.14893770270268,2.275038449999999,81.65337575675672,102.11263581081084,4.298654060810809
92,610,220,130,105,69.16892741071429,2.2737017156250006,81.46075008928572,101.551968125,4.276462435267858
93,610,220,130,105,69.1761995945946,2.272333913513513,81.39077648648644,101.3645068918919,4.268888500000001
94,610,220,130,105,69.17898125000002,2.271783425446428,81.36389895535714,101.29726718749998,4.266184249999999
95,610,220,130,105,69.18043675675672,2.2714954932432443,81.35329094594589,101.2699485135136,4.265080590540543
